original,optimized,label
"Rugs Under Cheap Area Medium Size Of Unique Furniture 8x10 For 100 published on decoration. which is part of the decoration collection. It’s full resolution is 687x687 Pixels.
",Rugs Under Cheap Area Medium Size Of Unique Furniture 8x10 For 100 published on decoration. which is part of the decoration collection. It’s full resolution is 687x687 Pixels.,0
"Lasts 4 weeks in refrigerator, 10 to 14 days once opened. This product does not contain pork or dairy products.
","Lasts 4 weeks in refrigerator, 10 to 14 days once opened. This product does not contain pork or dairy products.",0
"It was late fall of Allie’s junior year at West Chester University. She was single, and her college bestie Maggie repeatedly suggested a solution to that status.
","It was late fall of Allie’s junior year at West Chester University. She was single, and her college bestie Maggie repeatedly suggested a solution to that status.",0
"«The Sneakers» is part of a brand new series of «SEREBRO». Artworks that discovers comtemporary relationships of man and woman.
",«The Sneakers» is part of a brand new series of «SEREBRO». Artworks that discovers comtemporary relationships of man and woman.,0
"Please note, this contact form is for queries and not job applications. To apply for a vacancy, head on over to the job search page.
","Please note, this contact form is for queries and not job applications. To apply for a vacancy, head on over to the job search page.",0
"Notice: This USB Hub is not for charging.It is for data reader. The TF Card and SD Card can not be read at the same time.
",Notice: This USB Hub is not for charging.It is for data reader. The TF Card and SD Card can not be read at the same time.,0
"Coaching sessions are available by package and dependent on whether you are also looking for a Travel Companion. Let’s talk. You can pay in cash, cheque or dark chocolate.
","Coaching sessions are available by package and dependent on whether you are also looking for a Travel Companion. Let’s talk. You can pay in cash, cheque or dark chocolate.",0
"Your credit scores are used by lenders for approving loans, and dictate the type of loan and interest rate you will be charged.
","Your credit scores are used by lenders for approving loans, and dictate the type of loan and interest rate you will be charged.",0
"This Could Be the Start of Something Big digital sheet music. Contains printable sheet music plus an interactive, downloadable digital sheet music file.
","This Could Be the Start of Something Big digital sheet music. Contains printable sheet music plus an interactive, downloadable digital sheet music file.",0
"Thank you for your support of the Nashua Senior Activity Center. Click on the button below to donate by credit card, check, or PayPal.
","Thank you for your support of the Nashua Senior Activity Center. Click on the button below to donate by credit card, check, or PayPal.",0
"Classes of 1972 and 1974 have been invited to the event. All alumni are asked to bring a side dish or dessert to share.
",Classes of 1972 and 1974 have been invited to the event. All alumni are asked to bring a side dish or dessert to share.,0
"Jacqueline F. Webb is currently considered a ""single author."" If one or more works are by a distinct, homonymous authors, go ahead and split the author.
","Jacqueline F. Webb is currently considered a ""single author."" If one or more works are by a distinct, homonymous authors, go ahead and split the author.",0
"TIPS: Click or use mousewheel to navigate through thumbnails to view properties. A summary of each property is provided below larger image.
",TIPS: Click or use mousewheel to navigate through thumbnails to view properties. A summary of each property is provided below larger image.,0
"Loft the can be found at 19367 Lorain Rd . The following is offered: Restaurants . In Cleveland there are 590 other Restaurants. An overview can be found here.
",Loft the can be found at 19367 Lorain Rd . The following is offered: Restaurants . In Cleveland there are 590 other Restaurants. An overview can be found here.,0
"I need to put output apk (app-release.apk) in specific path in project. In folder MyProject/release/app-relese.apk. How I can do this?
",I need to put output apk (app-release.apk) in specific path in project. In folder MyProject/release/app-relese.apk. How I can do this?,0
"A keyboardist first and foremost, Kiefer was taught to play the blues by his father practically before he could walk.
","A keyboardist first and foremost, Kiefer was taught to play the blues by his father practically before he could walk.",0
"We are always happy to help you realize your dreams in marble, sandstone and other stone artifacts of every medium, range and design.
","We are always happy to help you realize your dreams in marble, sandstone and other stone artifacts of every medium, range and design.",0
"Ensure your pet is kept safe this holiday season! I spoke with the Gold Coast City Council and the Mayor Tom Tate yesterday to offer some tips.
",Ensure your pet is kept safe this holiday season! I spoke with the Gold Coast City Council and the Mayor Tom Tate yesterday to offer some tips.,0
"Check it out! For every ten pairs of socks sold, Schnee’s will donate one pair of heavy wool socks to customers of the Warming Center. Think – holiday gifts!
","Check it out! For every ten pairs of socks sold, Schnee’s will donate one pair of heavy wool socks to customers of the Warming Center. Think – holiday gifts!",0
"Trumpet Creeper is best known for its magnificent flowers. These bright red blossoms grow up to three inches long. Blooms from June to September.
",Trumpet Creeper is best known for its magnificent flowers. These bright red blossoms grow up to three inches long. Blooms from June to September.,0
"hey! i dont know where to put my request, i hope this is the correct place. so here it is..
","hey! i dont know where to put my request, i hope this is the correct place. so here it is..",0
"Like this wig? Use the Contact Us link to send us a message if you'd like to special order this wig. Special orders take about 2 weeks extra delivery time.
",Like this wig? Use the Contact Us link to send us a message if you'd like to special order this wig. Special orders take about 2 weeks extra delivery time.,0
"A superb 19thc ""engine"" turned decorated Snuff Box, made out of Fruitwood, it has gained a fine colour and is in excellent original condition.
","A superb 19thc ""engine"" turned decorated Snuff Box, made out of Fruitwood, it has gained a fine colour and is in excellent original condition.",0
"Have fun defending your land and try not to get hit by an enemy unit. Dodge shells and bomb this place where they all come from. Have fun!
",Have fun defending your land and try not to get hit by an enemy unit. Dodge shells and bomb this place where they all come from. Have fun!,0
"SV411 — Nelson Dionne Collection. View of the omnibus of ""Uncle Joe,"" appearing to be in Juniper Point, filled and surrounded by people. Circa 1878-94.
","SV411 — Nelson Dionne Collection. View of the omnibus of ""Uncle Joe,"" appearing to be in Juniper Point, filled and surrounded by people. Circa 1878-94.",0
"A pill nurse stress reliever is a great promotional idea! This nurse stress reliever is perfect for health fairs or safety promotions.
",A pill nurse stress reliever is a promotional idea! This nurse stress reliever is perfect for health fairs or safety promotions.,0
"It's such a great poem; I'd swear I'd read it before, but I have no Whalen in my collection except what I just bought.
","It's such a poem; I'd swear I'd read it before, but I have no Whalen in my collection except what I just bought.",0
"Enter your info to receive emails from Royalton Luxury Resorts* for future promotions and deals. You may unsubscribe at any time.
",Enter your info to receive emails from Royalton Luxury Resorts* for future promotions and deals. You may unsubscribe at any time.,0
"Most rentals are cheaper than hotels. You either go out for dinner, or cook your own meals. Supermarkets and restaurants are widely available in Montreux.
","Most rentals are cheaper than hotels. You either go out for dinner, or cook your own meals. Supermarkets and restaurants are widely available in Montreux.",0
"Availability: 44 presently on-hand. Feel free to order as many as you'd like. We constantly have stock on order and receive more of this item routinely.
",Availability: 44 presently on-hand. Feel free to order as many as you'd like. We constantly have stock on order and receive more of this item routinely.,0
"At iNDIYEH we all are here to do what we LOVE the Most, Yeh! It’s Entertainment, Entertainment, and Just Entertainment. We at iNDIYEH Eat, Love and Pray Entertainment.
","At iNDIYEH we all are here to do what we LOVE the Most, Yeh! It’s Entertainment, Entertainment, and Just Entertainment. We at iNDIYEH Eat, Love and Pray Entertainment.",0
"Donate your old sunglasses to Schanzenoptik and you will get a discount of five Euro when you buy a new one.
",Donate your old sunglasses to Schanzenoptik and you will get a discount of five Euro when you buy a new one.,0
"Ald. Willie Cochran passed up a similar plea deal in November — and it looked for a moment like he might not go through with it, again.
","Ald. Willie Cochran passed up a similar plea deal in November — and it looked for a moment like he might not go through with it, again.",0
"West Chester 3652 Disposable Coveralls are made of breathable microporous material that protects against dry particulates and liquid sprays. Designed with elastic cuffs. Case of 25 units.
",West Chester 3652 Disposable Coveralls are made of breathable microporous material that protects against dry particulates and liquid sprays. Designed with elastic cuffs. Case of 25 units.,0
"Manavata (Humanity) is a symbol of selfless service, empathy and an attempt to help the needy. Manavata is a registered charitable Organisation. Not-for-profit, secular in nature.
","Manavata (Humanity) is a symbol of selfless service, empathy and an attempt to help the needy. Manavata is a registered charitable Organisation. Not-for-profit, secular in nature.",0
"Pick a song, hop in your car, and show us what you got for a chance to win a full factory integrated car audio system!
","Pick a song, hop in your car, and show us what you got for a chance to win a full factory integrated car audio system!",0
"The first 18 pleats are sewn in. Notice the reinforcement stitches on the Left Belt hole (Right side of picture).
",The first 18 pleats are sewn in. Notice the reinforcement stitches on the Left Belt hole (Right side of picture).,0
"Coming up for film and TV show reviews include Black Mirror Bandersnatch, Bird Box and Heroes Season 1! Contact me on Twitter to submit a recommendation of your own!
","Coming up for film and TV show reviews include Black Mirror Bandersnatch, Bird Box and Heroes Season 1! Contact me on Twitter to submit a recommendation of your own!",0
"Clover Field at Santa Monica, California, was the home of the Douglas Company and was considered by many the unofficial starting point for the World Flight.
","Clover Field at Santa Monica, California, was the home of the Douglas Company and was considered by many the unofficial starting point for the World Flight.",0
"We stock a wide variety of sunglasses including many designer labels. All our sunglasses offer 100% UV protection. Come and have a look!
",We stock a wide variety of sunglasses including many designer labels. All our sunglasses offer 100% UV protection. Come and have a look!,0
"Susan: I liked Chad Allen's blog entry. I also liked the homemaker's hint. I needed to hear both. Thank you for your work.
",Susan: I liked Chad Allen's blog entry. I also liked the homemaker's hint. I needed to hear both. Thank you for your work.,0
"Black, lime, and blue festival fluffies. Lime and blue spikes are slightly UV reactive. Choose your style and size. Handmade and made to order.
","Black, lime, and blue festival fluffies. Lime and blue spikes are slightly UV reactive. Choose your style and size. Handmade and made to order.",0
"Realtimetter is a simple Twitter Streaming API client. It receives real-time updated tweets without clicking Refresh button. So you can easily follow fast-updated #hashtags. And it's completely free. Enjoy!
",Realtimetter is a simple Twitter Streaming API client. It receives real-time updated tweets without clicking Refresh button. So you can easily follow fast-updated #hashtags. And it's completely free. Enjoy!,0
"When measured in kilograms, the top countries receiving goods from Port of Longview were China, Japan, Korea, South, Philippines and Taiwan.
","When measured in kilograms, the top countries receiving goods from Port of Longview were China, Japan, Korea, South, Philippines and Taiwan.",0
"These are general hotel policies for Golden Central Hotel Saigon. As they may vary per room type; please also check the room description.
",These are general hotel policies for Golden Central Hotel Saigon. As they may vary per room type; please also check the room description.,0
"I reported this a few weeks ago to the Bugs Report thread and have not gotten a response. Could you please look into this?
",I reported this a few weeks ago to the Bugs Report thread and have not gotten a response. Could you please look into this?,0
"INSTALLATION GUIDE. Congratulations! You have purchased a Kensun HID conversion kit. ... Single Beam wiring diagram. Dual Beam wiring diagram.
",INSTALLATION GUIDE. Congratulations! You have purchased a Kensun HID conversion kit. ... Single Beam wiring diagram. Dual Beam wiring diagram.,0
"Dinah was a sexbot fornicator that will be remembered in infamy for all eternity. But why doesn’t anyone remember what her brothers did?
",Dinah was a sexbot fornicator that will be remembered in infamy for all eternity. But why doesn’t anyone remember what her brothers did?,0
"Spacious branch of the stylish Korean coffee chain. Does good coffee plus a small selection of Western food, including Belgian waffles and ice cream. Free wi-fi.
","Spacious branch of the stylish Korean coffee chain. Does good coffee plus a small selection of Western food, including Belgian waffles and ice cream. Free wi-fi.",0
"Do you have a question or comment? Fill out this short form, and we’ll get back with you in short order.
","Do you have a question or comment? Fill out this short form, and we’ll get back with you in short order.",0
"The picture was taken in Berlin, Germany. The Victory Column is one famous sight in the city center. Classical black and white cityscape.
","The picture was taken in Berlin, Germany. The Victory Column is one famous sight in the city center. Classical black and white cityscape.",0
"I THINK I WOULD LIKE A BROW LIFT. I DON’T UNDERSTAND THE PROCEDURE FOR THE LIFT. WHERE IS THE INCISION?
",I THINK I WOULD LIKE A BROW LIFT. I DON’T UNDERSTAND THE PROCEDURE FOR THE LIFT. WHERE IS THE INCISION?,0
"Fat Strips are individual fabrics from a collection cut into 5"" or 6"" strips. Each strip measures 42-44"" long. The number of cuts vary by the collection.
","Fat Strips are individual fabrics from a collection cut into 5"" or 6"" strips. Each strip measures 42-44"" long. The number of cuts vary by the collection.",0
"Our resident artist Rauri Grew plans to run Art classes for children and adults, all ages and abilities. If you are interested please contact Rauri on 07749 103 601.
","Our resident artist Rauri Grew plans to run Art classes for children and adults, all ages and abilities. If you are interested please contact Rauri on 07749 103 601.",0
"Choosing the right platform is critical. To help us find the right one for you, we’ll need to understand what else you’re doing.
","Choosing the right platform is critical. To help us find the right one for you, we’ll need to understand what else you’re doing.",0
"The exhibition continues through to May 23rd, 2010. Viewing is by appointment Monday thru Friday and from 12-6 pm Saturdays and Sundays.
","The exhibition continues through to May 23rd, 2010. Viewing is by appointment Monday thru Friday and from 12-6 pm Saturdays and Sundays.",0
"So, I played with more water on Friday night. It was fun and difficult at the same time. I feel like they came out well!
","So, I played with more water on Friday night. It was fun and difficult at the same time. I feel like they came out well!",0
"Based in Mudgee, Central West NSW, we source sustainable Australian hardwoods to make our hand-crafted, stump stools. Each piece is individual and has its own personality and characteristics.
","Based in Mudgee, Central West NSW, we source sustainable Australian hardwoods to make our hand-crafted, stump stools. Each piece is individual and has its own personality and characteristics.",0
"Join us for Weddings on a secluded beach or at sunset on our boat. We help you make the most of this very special day.
",Join us for Weddings on a secluded beach or at sunset on our boat. We help you make the most of this special day.,0
"Machine Operator opening at a growing plastics manufacturer in Mansfield, Ohio! This is a skilled position that offers stable work and great opportunities.
","Machine Operator opening at a growing plastics manufacturer in Mansfield, Ohio! This is a skilled position that offers stable work and opportunities.",0
"it feels great to be a tittle. Having gold is aswsome but you have to put it on the line.
",it feels to be a tittle. Having gold is aswsome but you have to put it on the line.,0
"ATRADER has a Real Time Streaming News Facility(*). One can drill down to each article using by double clicking on the selected headline.
",ATRADER has a Real Time Streaming News Facility(*). One can drill down to each article using by double clicking on the selected headline.,0
"Pneumocystis jiroveci antibody LS-C528763 is a biotin-conjugated mouse monoclonal antibody to pneumocystis jiroveci Pneumocystis jiroveci. Validated for IF and WB.
",Pneumocystis jiroveci antibody LS-C528763 is a biotin-conjugated mouse monoclonal antibody to pneumocystis jiroveci Pneumocystis jiroveci. Validated for IF and WB.,0
"If so - and I think we are - we have some thinking to do, and then some actual doing to do.
","If so - and I think we are - we have some thinking to do, and then some actual doing to do.",0
"Pump the end to make the spider move realistically while you hide out of sight. A hilariously immature addition to our hugely successful Lord Phartwell range.
",Pump the end to make the spider move realistically while you hide out of sight. A hilariously immature addition to our hugely successful Lord Phartwell range.,0
"For students who have taken several sesssions of fabric and can invert cleanly in the air several times during class. We will work on drops, sequences and straight arm inversions.
","For students who have taken several sesssions of fabric and can invert cleanly in the air several times during class. We will work on drops, sequences and straight arm inversions.",0
"Hey Buddy!, I found this information for you: ""Topic Tag: website layout"". Here is the website link: . Thank you.
","Hey Buddy!, I found this information for you: ""Topic Tag: website layout"". Here is the website link: . Thank you.",0
"For a cost of less than €24.50 a universal key for accessible toilets can be purchased from J Williams & Son, Dublin, contactable 01 475 6307.
","For a cost of less than €24.50 a universal key for accessible toilets can be purchased from J Williams & Son, Dublin, contactable 01 475 6307.",0
"Just got back from Taiwan and still jet lagged. Hope you all had a fun winter holiday break and looking forward to a great year ahead!
",Just got back from Taiwan and still jet lagged. Hope you all had a fun winter holiday break and looking forward to a year ahead!,0
"“Global Health Inequalities and the Need for Solidarity: A View from the Global South” by Mbih J. Tosam et al.
",“Global Health Inequalities and the Need for Solidarity: A View from the Global South” by Mbih J. Tosam et al.,0
"The Revolution Integrated Neochrome Scooter Headset are a solid and reliable integrated scooter headset for any integrated scooter deck. We will price match any retailer.
",The Revolution Integrated Neochrome Scooter Headset are a solid and reliable integrated scooter headset for any integrated scooter deck. We will price match any retailer.,0
"Rated 5 out of 5 by Wenwa from Great, fantastic! I used this to create a border for a pillar candle and it was absolutely beautiful. Sticks fast.
","Rated 5 out of 5 by Wenwa from , fantastic! I used this to create a border for a pillar candle and it was absolutely beautiful. Sticks fast.",0
"* 1. Are you a Sponsor (drug development organization) or a Provider (CRO or other clinical research service provider)? Consultants: please select the option most representative of your client base.
",* 1. Are you a Sponsor (drug development organization) or a Provider (CRO or other clinical research service provider)? Consultants: please select the option most representative of your client base.,0
"Park, J., Wu, X., Frogner, B., & Pittman, P. (2018). Does the Patient-centered Medical Home Model Change Staffing and Utilization in the Community Health Centers?. Medical care, 56 (9). http://dx.doi.org/10.1097/MLR.0000000000000965.
","Park, J., Wu, X., Frogner, B., & Pittman, P. (2018). Does the Patient-centered Medical Home Model Change Staffing and Utilization in the Community Health Centers?. Medical care, 56 (9). http://dx.doi.org/10.1097/MLR.0000000000000965.",0
"When playing an event where emojis are frozen or captured (such as villian events or food fights), Goofy’s power will free all characters on the board.
","When playing an event where emojis are frozen or captured (such as villian events or food fights), Goofy’s power will free all characters on the board.",0
"Friend and belly dance sensation April Rose compiled a CD of new music to do belly dance to~ check it out!
",Friend and belly dance sensation April Rose compiled a CD of new music to do belly dance to~ check it out!,0
"When I put something like <h1>Confirm deletion for operator named not extremely long</h1> to popup as header, finally in popped up window I see truncated header 'Confirm deletion for...'.
","When I put something like <h1>Confirm deletion for operator named not long</h1> to popup as header, finally in popped up window I see truncated header 'Confirm deletion for...'.",0
"The cost of Hole-in-One Insurance is based on the number of players, yardage of the hole and the value of your prize.
","The cost of Hole-in-One Insurance is based on the number of players, yardage of the hole and the value of your prize.",0
